phi_deg, psi_deg, phi, psi, grad_phi, grad_psi
-180, -39, -3.141592653589793, -0.6806784082777885, -30.195118357465343, -1.156497386699355
-180, -36, -3.141592653589793, -0.6283185307179586, -48.4044069078785, 3.381419777090891
-180, -33, -3.141592653589793, -0.5759586531581288, -34.94883575782862, 5.431267633950434
-180, -30, -3.141592653589793, -0.5235987755982988, -31.30836659306796, 9.837600639324945
-180, -27, -3.141592653589793, -0.47123889803846897, -29.512641556252664, -10.024432691934313
-180, -24, -3.141592653589793, -0.4188790204786391, -36.78660725821236, 9.020088432251962
-180, -21, -3.141592653589793, -0.3665191429188092, -37.19494007364971, -1.4044795524725828
-180, -18, -3.141592653589793, -0.3141592653589793, -43.041137316607674, 3.4240712746840556
-180, -15, -3.141592653589793, -0.2617993877991494, -45.22616397819598, -0.8065660169711871
-180, -12, -3.141592653589793, -0.20943951023931956, -41.11720358215639, 22.03184619632401
-180, -9, -3.141592653589793, -0.15707963267948966, -43.945222607292614, 24.88916930070836
-180, -6, -3.141592653589793, -0.10471975511965978, -54.15871461541555, 9.65114587043923
-180, -3, -3.141592653589793, -0.05235987755982989, -55.59179686471834, 5.1874986777938705
-180, 0, -3.141592653589793, 0.0, -57.773637672032784, 3.2682079207920793
-180, 3, -3.141592653589793, 0.05235987755982989, -60.35454629858382, 6.7934023123051395
-180, 6, -3.141592653589793, 0.10471975511965978, -58.36697126431412, 1.3046462087686916
-180, 9, -3.141592653589793, 0.15707963267948966, -70.61400323182248, 1.4622663428559906
-180, 12, -3.141592653589793, 0.20943951023931956, -61.487174590036176, -2.789638275531926
-180, 15, -3.141592653589793, 0.2617993877991494, -66.96855464588599, 1.7387442347929698
-180, 18, -3.141592653589793, 0.3141592653589793, -62.71736193200411, 0.7137703094743628
-180, 21, -3.141592653589793, 0.3665191429188092, -68.44544722268901, -2.598134308913558
-180, 24, -3.141592653589793, 0.4188790204786391, -61.37545414829093, 3.6168125578470436
-180, 27, -3.141592653589793, 0.47123889803846897, -56.85217459003618, 3.951195068171932
-180, 30, -3.141592653589793, 0.5235987755982988, -52.25147317342709, 2.651973618100786
-180, 33, -3.141592653589793, 0.5759586531581288, -58.78316999496621, 6.018474940306994
-180, 36, -3.141592653589793, 0.6283185307179586, -61.476045877164886, 3.403352500136839
-180, 39, -3.141592653589793, 0.6806784082777885, -52.892759525296, -7.547690732112516
-180, 42, -3.141592653589793, 0.7330382858376184, -65.24630103836944, 4.887612570291696
-180, 45, -3.141592653589793, 0.7853981633974483, -71.83613498607583, 11.44776735784432
-180, 48, -3.141592653589793, 0.8377580409572782, -62.70722487183067, 4.386971650347544
-180, 51, -3.141592653589793, 0.8901179185171081, -69.07719898708635, -0.9235072254661683
-180, 54, -3.141592653589793, 0.9424777960769379, -61.74893088350976, 2.4381624135715936
-180, 57, -3.141592653589793, 0.9948376736367679, -59.09194233818775, 2.9508617555797723
-180, 60, -3.141592653589793, 1.0471975511965976, -59.52967727599318, -0.9692012786498847
-180, 63, -3.141592653589793, 1.0995574287564276, -61.652561505494, 1.8974089544473944
-180, 66, -3.141592653589793, 1.1519173063162575, -56.47489658546946, -5.577317446118684
-180, 69, -3.141592653589793, 1.2042771838760873, -60.12297508254014, -0.9297369159919193
-180, 72, -3.141592653589793, 1.2566370614359172, -60.498531025679746, -5.8583742076471115
-180, 75, -3.141592653589793, 1.3089969389957472, -60.516345948249906, -11.951090707223097
-180, 78, -3.141592653589793, 1.361356816555577, -56.40094842095183, -6.506054731551759
-180, 81, -3.141592653589793, 1.413716694115407, -58.346131944693795, -10.056543508355471
-180, 84, -3.141592653589793, 1.4660765716752369, -46.83290351107139, -15.687061988129473
-180, 87, -3.141592653589793, 1.5184364492350666, -50.59212282054764, -10.854313141171026
-180, 90, -3.141592653589793, 1.5707963267948966, -50.05229495560535, -15.907732611044047
-180, 93, -3.141592653589793, 1.6231562043547265, -51.31061787005257, -22.064805546263575
-180, 96, -3.141592653589793, 1.6755160819145565, -50.099068009677005, -18.561690362671253
-180, 99, -3.141592653589793, 1.7278759594743862, -44.34765980454494, -25.95928805036628
-180, 102, -3.141592653589793, 1.7802358370342162, -51.96232692311368, -21.292479797466996
-180, 105, -3.141592653589793, 1.8325957145940461, -48.76871157403346, -22.215334910904353
-180, 108, -3.141592653589793, 1.8849555921538759, -53.779858535196986, -21.743437549094427
-180, 111, -3.141592653589793, 1.9373154697137058, -50.07056914194606, -17.92262929619517
-180, 114, -3.141592653589793, 1.9896753472735358, -58.46335889062208, -27.23932599379095
-180, 117, -3.141592653589793, 2.0420352248333655, -49.39745641282898, -28.38338902802065
-180, 120, -3.141592653589793, 2.0943951023931953, -56.504565323720016, -23.80470948799285
-180, 123, -3.141592653589793, 2.1467549799530254, -47.005777062738154, -25.857703215291384
-180, 126, -3.141592653589793, 2.199114857512855, -60.81994000765587, -34.048231596055714
-180, 129, -3.141592653589793, 2.251474735072685, -50.63943738769272, -28.637126313453688
-180, 132, -3.141592653589793, 2.303834612632515, -49.16871532626563, -19.333466575405676
-180, 135, -3.141592653589793, 2.356194490192345, -54.21293470173577, -23.284321688843278
-180, 138, -3.141592653589793, 2.4085543677521746, -46.006856270658936, -20.415048089409563
-180, 141, -3.141592653589793, 2.4609142453120048, -53.84650287639743, -20.939229935519986
-180, 144, -3.141592653589793, 2.5132741228718345, -48.864049695390904, -11.935847425195188
-180, 147, -3.141592653589793, 2.5656340004316642, -51.40978922826629, -16.255385706949635
-180, 150, -3.141592653589793, 2.6179938779914944, -48.94174813661185, -8.100537850089736
-180, 153, -3.141592653589793, 2.670353755551324, -49.108083993431194, -10.347977121943176
-180, 156, -3.141592653589793, 2.722713633111154, -49.4349088169915, -2.8235946116183945
-180, 159, -3.141592653589793, 2.775073510670984, -48.14539241181837, -6.458934873570392
-180, 162, -3.141592653589793, 2.827433388230814, -47.945892833237295, -6.124918699879263
-180, 165, -3.141592653589793, 2.8797932657906435, -52.181066455989075, -3.309694605396039
-180, 168, -3.141592653589793, 2.9321531433504737, -36.87767578829909, 6.801885924731158
-180, 171, -3.141592653589793, 2.9845130209103035, -45.25591263521748, 7.023723880600455
-180, 174, -3.141592653589793, 3.036872898470133, -48.7783954532004, 10.068001298260198
-180, 177, -3.141592653589793, 3.0892327760299634, -48.347585125700235, 7.202891089612405
-177, -180, -3.0892327760299634, -3.141592653589793, -42.2916610363082, 15.246261566396711
-177, -177, -3.0892327760299634, -3.0892327760299634, -39.099693780660544, 18.755870443787412
-177, -174, -3.0892327760299634, -3.036872898470133, -43.89199081036354, 22.88925308610034
-177, -171, -3.0892327760299634, -2.9845130209103035, -42.231515562838744, 20.479523644151982
-177, -168, -3.0892327760299634, -2.9321531433504737, -43.21873034323891, 15.884619025763904
-177, -165, -3.0892327760299634, -2.8797932657906435, -34.39746987611428, 22.300823318267362
-177, -162, -3.0892327760299634, -2.827433388230814, -41.75913020106888, 24.099839491958477
-177, -159, -3.0892327760299634, -2.775073510670984, -41.949799650169616, 31.92319229931298
-177, -156, -3.0892327760299634, -2.722713633111154, -42.051875816708346, 29.731772829440164
-177, -153, -3.0892327760299634, -2.670353755551324, -35.29779965016959, 26.75834345857682
-177, -150, -3.0892327760299634, -2.6179938779914944, -39.170130201068865, 25.37388438474319
-177, -147, -3.0892327760299634, -2.5656340004316642, -44.662433313535956, 30.6064154099199
-177, -144, -3.0892327760299634, -2.5132741228718345, -45.84730764204667, 27.24785732618532
-177, -141, -3.0892327760299634, -2.4609142453120048, -37.89413020106888, 30.468863598886337
-177, -138, -3.0892327760299634, -2.4085543677521746, -37.825348022851045, 28.193265911191748
-177, -135, -3.0892327760299634, -2.356194490192345, -42.168728078700816, 25.703400896764073
-177, -132, -3.0892327760299634, -2.303834612632515, -35.9415270175168, 28.029397268475012
-177, -129, -3.0892327760299634, -2.251474735072685, -36.576779848189354, 28.44354215503786
-177, -126, -3.0892327760299634, -2.199114857512855, -45.94331754303677, 37.746776150511174
-177, -123, -3.0892327760299634, -2.1467549799530254, -43.18179965016957, 30.1937230172716
-177, -120, -3.0892327760299634, -2.0943951023931953, -29.287896395532503, 20.474313448388898
-177, -117, -3.0892327760299634, -2.0420352248333655, -23.501767682661235, 12.97691378049587
-177, -114, -3.0892327760299634, -1.9896753472735358, -39.767984727599405, 30.57926658785034
-177, -111, -3.0892327760299634, -1.9373154697137058, -39.97212030007879, 18.372956028868433
-177, -108, -3.0892327760299634, -1.8849555921538759, -32.08939752780155, 0.4668434896884878
-177, -105, -3.0892327760299634, -1.8325957145940461, -38.924601630367604, 21.330740851498433
-177, -102, -3.0892327760299634, -1.7802358370342162, -48.39843027215386, 22.72561841132837
-177, -99, -3.0892327760299634, -1.7278759594743862, -40.08134116324299, 12.200852406801904
-177, -96, -3.0892327760299634, -1.6755160819145565, -43.52291237928671, 13.131373530988078
