t,l2 loss,l1 loss,linf loss,l2 loss HSS,l1 loss HSS,linf loss HSS
48,0.001636175392176878,1.604324244930271e-05,0.4529914414812369,0.00031569336672218043,3.1247598346681556e-06,0.15290745971201403
50,0.0015701999103449808,1.526014900944874e-05,0.4463302488424085,0.00031132339923259855,3.0384414936549683e-06,0.1581359511201833
52,0.0016058852747224159,1.5743509484904225e-05,0.44844919204196604,0.0003124424590007127,3.0809628574336085e-06,0.15703624542407735
54,0.0017131040171140372,1.6849125444242187e-05,0.4749868551649861,0.0003102814786224806,3.0510227241157288e-06,0.16206957321451299
56,0.0020745977352170366,2.1302417499137005e-05,0.5392281900665499,0.0002972259450261428,2.980049344480001e-06,0.15067114460021847
58,0.0017106332993489966,1.694133280161543e-05,0.44566609024298615,0.00030370756638635184,3.0405955201832683e-06,0.16091556450503675
60,0.001547727303907343,1.5016662817756557e-05,0.4417397042706385,0.0003071286923945477,3.062051453776831e-06,0.15296897170542223
62,0.001626458087689307,1.595215153215242e-05,0.43724443855955086,0.0003126638602566876,3.1082782289090203e-06,0.1615551255254566
64,0.0014693209057821616,1.4013364932729985e-05,0.43654766026212655,0.00031411704896774684,3.167639441625788e-06,0.15262165544031603
66,0.0016711283297098395,1.6375253810656694e-05,0.48412344224358644,0.0003188933276344733,3.167237090333897e-06,0.1677535001729441
68,0.001731556072600158,1.7211297634188104e-05,0.4716033975043111,0.00031869083821828097,3.1853637283906784e-06,0.15337607142923815
70,0.0018453830048325065,1.8515007643953875e-05,0.4976440226266557,0.0003248416182290476,3.2505159306685796e-06,0.170943540761323
72,0.002091616379373527,2.1381593504655833e-05,0.5482106417421835,0.0003287355913397793,3.2622968289159052e-06,0.1707665149663401
74,0.0020292415800866777,2.0571998663109463e-05,0.5278005172036728,0.00032167246286763154,3.2310019786505546e-06,0.16199840526865117
76,0.002097751357967549,2.1506507385666146e-05,0.5546250940631826,0.00033126053284341414,3.327165621502483e-06,0.167621303511016
78,0.0020453521158937194,2.087999188232975e-05,0.5466906752038323,0.00032274858641776524,3.259627560862908e-06,0.16048957010882703
80,0.0020801098704185113,2.1512877435854385e-05,0.5406922589561678,0.00030149273886875523,2.9850174761625427e-06,0.15184984904873278
82,0.0018976370749022124,1.921552622956961e-05,0.5269757060763783,0.0003309954027971683,3.2949620442074703e-06,0.17605933379989702
84,0.0019199208044358834,1.954574124399588e-05,0.49897886864640056,0.00034630421072784053,3.455017760149532e-06,0.16684984059368813
86,0.0018235268833708546,1.806289783491251e-05,0.5062656811631134,0.00031696079028478344,3.194461002882373e-06,0.16103644590662114
88,0.0018418395962659458,1.8446293789684193e-05,0.5019814889419978,0.00032711747721550705,3.2905713739685645e-06,0.17147381388058192
90,0.0021076349535316245,2.172780355851039e-05,0.5470331519846456,0.00033976140279754716,3.3877937533296352e-06,0.17067704839453224
92,0.0018581963430776061,1.8626867827914898e-05,0.5009146442565567,0.00033761167644662493,3.367305274841245e-06,0.17998341948310004
94,0.0021017097488176106,2.1560988008869173e-05,0.5639616127650452,0.0003520689746133998,3.519326529522329e-06,0.1747488064752205
96,0.0022943813348016723,2.423044884343188e-05,0.5932882313203376,0.000317288222862543,3.202582591331902e-06,0.1638614763601275
98,0.0020368368289412127,2.0876562475800757e-05,0.5434243291620748,0.0003198313334978634,3.198393984122608e-06,0.17029581708654884
